Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Education,Ethnicity,Gender,Age
sweetazgrey,?,?,in Men,Friendship,?,Student,Democratic Party,In a Relationship,Christian - Catholic,High School,Latino,Female,?
JacquesVancak,Conservative,?,?,?,?,?,Republican Party,?,Christian - Methodist,?,White,?,?
AA777,Liberal,?,in Women,?,?,?,Democratic Party,Single,Jewish - Conservative,?,White,?,?
IsabellaS,Conservative,?,in Men,?,?,Technical,Republican Party,Single,?,Bachelors Degree,White,?,?
castandwithrand,Libertarian,?,in Women,?,?,Medical,Republican Party,?,Atheist,High School,White,Male,?
Spmiller,Conservative,?,?,?,?,Student,Republican Party,?,Christian - Lutheran,?,White,?,?
DebaterAdmin,Conservative,?,?,?,?,?,Republican Party,?,Christian,?,?,?,?
Gatto_Gateaau,Conservative,?,in Women,"Friendship, Dating, A Relationship, Networking",?,?,Republican Party,Single,Christian - Catholic,?,White,?,?
hts,Conservative,"Less than $25,000",in Women,Networking,?,Student,Republican Party,Single,Christian - Catholic,High School,White,Male,?
grayger,?,?,?,?,?,Legal,Republican Party,?,Christian - Protestant,Graduate Degree,White,?,?
SMIA15,Libertarian,?,?,?,?,?,Republican Party,?,Christian,?,White,?,?
Aeroeagle,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,Male,?
Jenae.ross,?,?,?,?,?,?,Republican Party,?,Christian - Baptist,?,?,Female,?
Holdthepickle,Socialist,"$50,000 to $75,000",in Women,?,?,Other,Democratic Party,Single,Buddhist,Some College,White,Male,?
Hunts,Libertarian,?,in Women,?,?,?,Republican Party,Single,Christian,?,White,Male,?
TruthHurts,Progressive,?,?,?,?,?,Democratic Party,?,Atheist,?,?,?,?
MistyBlue,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,Female,?
alcarter,Conservative,?,in Women,?,?,?,Republican Party,Single,Agnostic,?,?,?,?
garrettgl,Liberal,?,?,?,?,?,Democratic Party,?,Christian,?,?,?,?
AnonymousAdult,?,?,?,?,?,Student,Democratic Party,?,Agnostic,High School,White,?,?
shacey,Undecided,"$50,000 to $75,000",in Men,Friendship,?,Retail,Democratic Party,In a Relationship,Christian - Catholic,?,White,?,?
thedancingbanana,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,?,?
18Karl,Apathetic,Other,in Women,Friendship,?,Other,Democratic Party,Single,Buddhist - Theravada,Other,Other,Male,?
websterhamster,Conservative,?,in Women,"Friendship, Dating, A Relationship, Networking",?,Teacher,Republican Party,Single,Christian - Latter-Day Saints,?,White,?,?
tonyrobinson,Conservative,?,?,?,?,Government,Republican Party,Married,Christian - Protestant,Bachelors Degree,White,?,?
PanicAtTheDoctor,Progressive,"Less than $25,000",?,?, Private,Student,Democratic Party,?,Christian - Methodist,?,White,Male,?
