Id,Ideology,Income,Interested,Looking,Name,Occupation,Party,Relationship,Religion,Education,Ethnicity,Gender,Age
Reppy7,?,?,in Women,?,?,Student,Republican Party,Single,Christian - Catholic,?,White,Male,?
Walrus101,Liberal,?,?,?,Vince Private,Student,Democratic Party,In a Relationship,Atheist,?,White,?,?
MirtsMojo,Conservative,?,in Women,Networking,?,Technical,Republican Party,?,Agnostic,Associates Degree,White,?,?
Victoria963,Liberal,?,in Men,Friendship,?,Medical,Democratic Party,In a Relationship,?,Bachelors Degree,White,Female,?
imabench,Liberal,?,in Women,?,?,?,Democratic Party,Single,Christian - Catholic,Bachelors Degree,White,Male,?
KingJoshie,?,?,in Women,?,?,?,Democratic Party,?,?,High School,?,?,?
WestDoggies,?,"$25,000 to $35,000",in Women,?,?,Teacher,Democratic Party,It's Complicated,Jewish - Reform,?,White,?,?
VladimirLeninIsCool,Socialist,?,?,?,?,Student,Democratic Party,?,Agnostic,?,White,?,?
DuckDAWG,Undecided,?,?,?,?,?,Republican Party,?,?,?,?,?,?
will1199,Moderate,?,in Women,?,Will Private,Student,Republican Party,Single,Atheist,High School,?,Male,10
xxpaulix7,?,?,in Men,"Friendship, Networking",?,?,Democratic Party,Single,Atheist,?,?,Female,11
TheMoralCompass2014,Conservative,?,in Women,Networking,?,?,Republican Party,Married,?,Graduate Degree,?,?,?
CalinMarie,Liberal,?,in Men and Women,"Friendship, Networking",?,Student,Democratic Party,?,Atheist,?,White,Female,?
jonsnow,Liberal,?,?,?,?,Student,Democratic Party,?,Christian,High School,White,?,?
Cowboy0108,Conservative,?,in Women,?,?,Student,Republican Party,Single,Christian,?,White,Male,?
a_mysterious_stranger,Conservative,?,in Women,?,?,?,Republican Party,?,Christian,?,White,Male,?
Nerd_in_a_Trenchcoat,Socialist,?,in Women,?,?,?,Democratic Party,Single,Agnostic,High School,White,?,?
Tyler_Putney,Socialist,"Less than $25,000",in Women,"Friendship, Networking",?,Student,Democratic Party,In a Relationship,Atheist,Some College,White,?,?
Patriotgames8,Green,"$35,000 to $50,000",in Women,Networking,?,Teacher,Democratic Party,Married,Christian,Bachelors Degree,White,?,?
redllama42,Socialist,?,?,?,?,?,Democratic Party,?,Jewish,?,White,Male,?
Conservative_98,Conservative,?,?,Networking,?,?,Republican Party,In an Open Relationship,Christian - Lutheran,?,White,?,?
TheOneWhoListens,Libertarian,Other,in Women,?,?,Student,Democratic Party,It's Complicated,Atheist,?,White,Male,?
SomeCallMeNomad,Conservative,?,in Women,Friendship,?,?,Republican Party,Single,Christian - Pentecostal,?,White,?,?
TheGodson,Conservative,"More than $150,000",in Women,?,?,Self-Employed,Republican Party,Single,Jewish,Some College,White,?,?
andrewmccauley,Liberal,?,?,?,?,?,Democratic Party,?,?,?,?,Male,?
